Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31
17,23:02.5,22.0593,22.2225,22.9475,22.5929,22.3297,22.2761,22.2558,22.1818,22.6429,22.5257,22.5072,22.4049,22.5073,22.4247,23.2129,0.0082,-0.7823,22.2314,22.9832,22.5213,22.358,22.3461,22.284,22.1009,22.3306,22.3813,22.4054,22.3794,22.3956,22.2723,22.249,22.2512
18,23:02.8,22.0542,22.2216,22.939,22.5946,22.3422,22.2585,22.2794,22.1767,22.6339,22.5037,22.4912,22.4123,22.5029,22.4164,23.2037,0.009,-0.7601,22.2058,22.9522,22.5176,22.3585,22.3535,22.2837,22.1358,22.3241,22.3845,22.4156,22.369,22.3744,22.2609,22.2312,22.2637
19,23:03.1,22.0542,22.21,22.9376,22.6255,22.3251,22.1743,22.2618,22.1448,22.6254,22.5167,22.4912,22.419,22.5045,22.4242,23.2067,0.0088,-0.7416,22.2249,22.9756,22.5527,22.3402,22.3387,22.2754,22.1695,22.3244,22.375,22.4156,22.3935,22.3868,22.1765,22.1977,22.2491
20,23:03.5,22.0537,22.2339,22.9545,22.6057,22.3311,22.2055,22.2641,22.1795,22.6448,22.5104,22.497,22.41,22.5066,22.4268,23.1905,0.0089,-0.724,22.2224,22.9689,22.5347,22.3481,22.3091,22.2715,22.1626,22.3318,22.3827,22.4094,22.3947,22.3836,22.2653,22.2326,22.2484
21,23:03.8,22.0533,22.241,22.9926,22.6013,22.3348,22.2735,22.2738,22.1723,22.6529,22.5158,22.4919,22.413,22.5066,22.4203,23.1873,0.0101,-0.7065,22.2347,22.9361,22.5333,22.3508,22.3352,22.2814,22.1399,22.3327,22.3896,22.4087,22.3898,22.3875,22.2951,22.2252,22.2507
22,23:04.1,22.0586,22.2158,22.9674,22.6278,22.3387,22.3255,22.2754,22.1127,22.6549,22.5079,22.4945,22.4135,22.5027,22.4293,23.172,0.011,-0.6941,22.24,22.9557,22.5072,22.3606,22.3149,22.2754,22.1737,22.3232,22.3824,22.4038,22.394,22.4028,22.3532,22.2176,22.2563
23,23:04.5,22.0554,22.2276,22.9669,22.6346,22.3336,22.2106,22.2838,22.1309,22.6404,22.5107,22.4998,22.4118,22.4969,22.4203,23.1787,0.0112,-0.6806,22.23,22.9945,22.5146,22.3532,22.3237,22.2754,22.1707,22.3191,22.3729,22.4017,22.394,22.3905,22.2979,22.2291,22.2468
24,23:04.8,22.0528,22.2383,22.9485,22.6376,22.3371,22.3288,22.2727,22.1518,22.6439,22.5188,22.5023,22.4169,22.5091,22.4367,23.1755,0.0121,-0.6708,22.2229,22.9645,22.4547,22.3388,22.3475,22.2574,22.164,22.3225,22.3769,22.3967,22.394,22.3758,22.2443,22.2092,22.2468
25,23:05.1,22.0544,22.2383,22.9951,22.607,22.332,22.3186,22.2738,22.1631,22.6494,22.5255,22.497,22.4118,22.4997,22.4224,23.1831,0.0118,-0.6608,22.2081,22.9566,22.5347,22.3451,22.3493,22.2775,22.1735,22.3073,22.3473,22.4006,22.3822,22.4037,22.2471,22.2266,22.2565
26,23:05.5,22.0496,22.2274,22.982,22.5913,22.3387,22.3221,22.2717,22.1779,22.6478,22.5349,22.5076,22.41,22.5066,22.4254,23.2157,0.0122,-0.6531,22.2421,22.9284,22.5368,22.3631,22.35,22.278,22.1714,22.3073,22.3221,22.398,22.3806,22.3975,22.2655,22.2217,22.2482
27,23:05.8,22.0558,22.2494,22.9626,22.6311,22.3258,22.3193,22.272,22.1411,22.6455,22.534,22.4898,22.4125,22.505,22.424,23.1991,0.0124,-0.6476,22.2166,22.9365,22.5469,22.3522,22.3493,22.2687,22.1628,22.2999,22.3431,22.4015,22.3683,22.4111,22.2681,22.2525,22.2466
28,23:06.1,22.0533,22.2246,22.9697,22.6168,22.3225,22.3339,22.2752,22.1719,22.6633,22.5257,22.4972,22.407,22.5003,22.4224,23.2,0.0127,-0.6416,22.2159,22.9608,22.5035,22.358,22.3509,22.281,22.1702,22.3147,22.3434,22.4138,22.3584,22.3866,22.2695,22.2298,22.2558
29,23:06.5,22.0558,22.2302,22.9803,22.6225,22.332,22.3249,22.2694,22.1753,22.6593,22.5146,22.5042,22.4054,22.5006,22.4041,23.1854,0.0133,-0.6355,22.2326,22.9594,22.4156,22.3617,22.329,22.275,22.1684,22.3126,22.3397,22.4064,22.379,22.3963,22.2702,22.2351,22.2521
30,23:06.8,22.0489,22.2292,22.9392,22.6202,22.3366,22.2971,22.2491,22.1908,22.6653,22.5091,22.4896,22.4037,22.5038,22.415,23.1813,0.0137,-0.6302,22.2386,22.9337,22.4424,22.3589,22.3449,22.2849,22.1603,22.314,22.3531,22.4091,22.3787,22.3956,22.2766,22.2365,22.2551
31,23:07.1,22.0475,22.2487,22.9334,22.583,22.3505,22.2936,22.2526,22.1966,22.6547,22.5398,22.5095,22.4033,22.5033,22.4157,23.1854,0.0131,-0.6269,22.2441,22.9539,22.5176,22.3638,22.3489,22.2807,22.1601,22.3091,22.36,22.4038,22.3963,22.4014,22.2762,22.2414,22.2574
32,23:07.5,22.0549,22.2406,22.9799,22.6184,22.3531,22.3082,22.3043,22.1918,22.6561,22.549,22.5076,22.4111,22.5107,22.4245,23.1905,0.0135,-0.6226,22.2229,22.9525,22.5273,22.3603,22.3394,22.2847,22.1589,22.3056,22.3711,22.4075,22.4086,22.4109,22.3345,22.2636,22.2579
33,23:07.8,22.0528,22.2239,22.9579,22.5987,22.335,22.3061,22.2551,22.1989,22.6536,22.5185,22.5169,22.416,22.5142,22.4131,23.173,0.0143,-0.6198,22.2379,22.9638,22.5421,22.3451,22.3438,22.2972,22.1422,22.3128,22.3824,22.4073,22.3965,22.4171,22.235,22.2347,22.2577
34,23:08.1,22.0521,22.2322,22.9626,22.6181,22.3248,22.246,22.2796,22.1918,22.6563,22.5317,22.5155,22.4172,22.507,22.4141,23.1919,0.0144,-0.6186,22.2092,22.9545,22.5379,22.3599,22.3489,22.2911,22.1561,22.3244,22.3896,22.4071,22.3762,22.4125,22.1957,22.1935,22.2597
35,23:08.5,22.0461,22.2098,22.9679,22.614,22.3392,22.1586,22.3032,22.1839,22.6459,22.544,22.4995,22.4234,22.5064,22.3928,23.1933,0.0153,-0.616,22.2004,22.9118,22.5423,22.3636,22.3438,22.2888,22.1658,22.323,22.3854,22.4052,22.4141,22.4137,22.2422,22.224,22.2655
36,23:08.8,22.0473,22.2223,22.9623,22.5987,22.3253,22.2032,22.3004,22.1906,22.6857,22.5292,22.5139,22.3966,22.4992,22.415,23.2074,0.0149,-0.6077,22.2404,22.9552,22.5368,22.3548,22.3528,22.2844,22.1712,22.3154,22.3958,22.4228,22.4044,22.3929,22.2006,22.2458,22.2574
37,23:09.1,22.048,22.2258,22.96,22.6096,22.3251,22.2356,22.2463,22.2093,22.6653,22.5477,22.5039,22.4058,22.5103,22.4182,23.1935,0.0156,-0.5773,22.2337,22.9781,22.5252,22.3686,22.3438,22.2847,22.1668,22.3093,22.4074,22.411,22.3991,22.4051,22.2339,22.2062,22.251
38,23:09.5,22.0503,22.2279,22.9859,22.6124,22.3357,22.231,22.271,22.1973,22.6469,22.5444,22.4968,22.4146,22.5087,22.4134,23.2192,0.0154,-0.551,22.2152,22.976,22.5159,22.3673,22.3368,22.2784,22.1714,22.3156,22.3843,22.432,22.4065,22.3933,22.2623,22.2576,22.2526
39,23:09.8,22.06,22.2269,22.9598,22.6181,22.3376,22.1979,22.2609,22.1936,22.6549,22.5597,22.5245,22.431,22.5175,22.4157,23.2215,0.0159,-0.5324,22.2296,22.9571,22.5349,22.368,22.3297,22.2791,22.1661,22.3054,22.384,22.4084,22.3991,22.3919,22.2565,22.2048,22.2648
40,23:10.1,22.0561,22.2376,22.9491,22.5855,22.3461,22.2874,22.2912,22.1864,22.6605,22.5511,22.5125,22.4243,22.5131,22.4189,23.1991,0.0167,-0.5416,22.2395,22.943,22.5185,22.3721,22.3565,22.2842,22.1827,22.3339,22.3813,22.4098,22.3852,22.3908,22.2871,22.2004,22.2614
