Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31,Events
16,40:20.4,21.2645,21.2956,22.2844,21.726,21.6581,21.5148,21.6514,21.4494,21.9832,21.7638,21.785,21.5624,21.8274,21.603,22.6177,0.1383,-0.4609,21.5249,22.3609,21.8956,21.7903,21.6385,21.6481,21.3927,21.5163,21.4785,21.5523,21.4892,21.7608,21.524,21.6689,21.6631,
17,40:20.8,21.2649,21.2919,22.2835,21.732,21.6627,21.5185,21.6578,21.4577,21.9908,21.7666,21.7818,21.5584,21.83,21.6012,22.6223,0.1374,-0.4395,21.5268,22.3646,21.8993,21.794,21.6383,21.649,21.423,21.5325,21.4989,21.5595,21.4959,21.7608,21.5233,21.6663,21.6693,
18,40:21.1,21.2691,21.2936,22.2744,21.7403,21.6542,21.5178,21.6527,21.4529,21.986,21.7626,21.7774,21.5441,21.8279,21.5919,22.617,0.1365,-0.4561,21.5233,22.3757,21.8986,21.7907,21.6438,21.6557,21.4191,21.5311,21.4891,21.5516,21.4943,21.7671,21.5168,21.6631,21.6714,
19,40:21.4,21.2691,21.2945,22.2858,21.7354,21.6588,21.5118,21.6507,21.4584,21.9818,21.7668,21.7711,21.5517,21.8286,21.5896,22.62,0.1354,-0.4726,21.5263,22.3711,21.8921,21.7937,21.6334,21.6687,21.4255,21.5323,21.4873,21.5523,21.495,21.7636,21.5173,21.6578,21.6737,
20,40:21.8,21.2726,21.2984,22.2837,21.7539,21.6466,21.5106,21.6534,21.454,21.9751,21.7596,21.7739,21.5464,21.8265,21.5783,22.6133,0.1345,-0.4846,21.5309,22.365,21.8939,21.7875,21.6427,21.683,21.4258,21.5298,21.4806,21.5479,21.4899,21.7726,21.5228,21.6566,21.6716,
21,40:22.1,21.268,21.3003,22.2853,21.7526,21.6658,21.5185,21.6558,21.4566,21.9781,21.7631,21.7711,21.5438,21.8415,21.5736,22.6159,0.1339,-0.4908,21.53,22.3715,21.8939,21.7868,21.6427,21.6969,21.4181,21.5291,21.4857,21.5516,21.501,21.7694,21.5247,21.6629,21.6765,
22,40:22.4,21.28,21.3088,22.277,21.7551,21.6593,21.5164,21.6521,21.4591,21.9689,21.7612,21.7686,21.5492,21.8339,21.5752,22.6133,0.1333,-0.4924,21.5328,22.3634,21.8974,21.7859,21.6434,21.7008,21.4135,21.5305,21.4903,21.5551,21.5091,21.7747,21.5159,21.6608,21.6783,
23,40:22.8,21.2659,21.3058,22.2788,21.7523,21.6648,21.5176,21.6514,21.4568,21.9732,21.7659,21.7642,21.5411,21.8441,21.5614,22.6175,0.133,-0.4885,21.5386,22.3699,21.9,21.7831,21.6471,21.7034,21.4031,21.5288,21.4859,21.5465,21.5125,21.7676,21.5143,21.6617,21.6848,
24,40:23.1,21.2763,21.3139,22.2828,21.7574,21.6551,21.5252,21.6453,21.4614,21.9679,21.7663,21.7695,21.5422,21.8392,21.5639,22.6133,0.1326,-0.4836,21.5309,22.3722,21.902,21.7815,21.6494,21.7052,21.3899,21.5228,21.4771,21.5417,21.5269,21.7757,21.5226,21.6698,21.6906,
25,40:23.4,21.2751,21.3111,22.283,21.7618,21.6516,21.5208,21.6479,21.4596,21.9552,21.7693,21.7709,21.53,21.8441,21.5477,22.6103,0.1323,-0.4819,21.5409,22.3683,21.8921,21.7768,21.6506,21.7036,21.3702,21.5101,21.4861,21.5354,21.5338,21.7745,21.5189,21.6638,21.6857,
