Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31
1,55:51.2,21.9985,22.0089,22.9128,22.2796,22.1575,22.0725,22.138,21.9558,22.5136,22.2704,22.3899,22.0556,22.3109,22.1399,23.1292,0.141,-2.7074,21.9279,22.9055,22.2444,22.1821,22.0339,22.0951,21.8145,21.9757,22.0548,22.2649,22.1329,22.2964,22.0846,22.1097,22.2654
2,55:51.5,21.9909,22.0013,22.9121,22.2865,22.1543,22.0704,22.1359,21.9652,22.5185,22.2688,22.3961,22.0603,22.3072,22.1353,23.126,0.0914,-2.2479,21.9186,22.9034,22.2363,22.189,22.0378,22.1036,21.8078,21.9724,22.0707,22.266,22.1389,22.2962,22.083,22.1078,22.2721
3,55:51.8,21.9955,21.9964,22.9014,22.2796,22.1497,22.0792,22.1336,21.9639,22.5217,22.2771,22.3878,22.0651,22.3132,22.1422,23.1266,0.0626,-1.9416,21.9216,22.9066,22.2407,22.1807,22.0385,22.1089,21.8134,21.9796,22.07,22.2718,22.1431,22.3061,22.086,22.1113,22.2834
4,55:52.2,22.0101,22.005,22.9114,22.2826,22.1515,22.0771,22.1461,21.9659,22.5234,22.2824,22.401,22.0695,22.3153,22.1503,23.1234,0.0461,-1.7094,21.9302,22.899,22.2419,22.1753,22.0392,22.111,21.8154,21.9821,22.0696,22.2649,22.1338,22.3061,22.0832,22.1152,22.2758
5,55:52.5,21.9932,22.0092,22.9024,22.2842,22.1444,22.0708,22.1299,21.9627,22.5254,22.2699,22.4014,22.0725,22.3192,22.1554,23.1227,0.0349,-1.5294,21.9304,22.8925,22.2537,22.1795,22.039,22.1106,21.8094,21.9821,22.0735,22.2799,22.1419,22.3036,22.0879,22.1199,22.2871
6,55:52.8,21.9981,22.0036,22.8982,22.2921,22.14,22.0669,22.1377,21.9659,22.5312,22.2755,22.3993,22.0711,22.3176,22.16,23.1216,0.0289,-1.3861,21.9332,22.9069,22.2511,22.1753,22.0478,22.1328,21.8124,21.9872,22.0744,22.2766,22.1348,22.3056,22.0837,22.1102,22.2846
7,55:53.2,21.9925,22.0048,22.8901,22.2777,22.1467,22.0757,22.132,21.9639,22.525,22.2787,22.4058,22.0679,22.3222,22.1617,23.1163,0.0247,-1.2703,21.9309,22.902,22.2484,22.1779,22.0506,22.123,21.8134,21.9766,22.0744,22.2702,22.1366,22.2999,22.0823,22.1152,22.2816
8,55:53.5,21.9927,22.0101,22.8922,22.2812,22.1432,22.0734,22.1278,21.9627,22.5294,22.2692,22.4003,22.0737,22.3197,22.1587,23.1167,0.0216,-1.17,21.9295,22.8988,22.2479,22.1698,22.0397,22.1346,21.8182,21.9794,22.0779,22.2672,22.1345,22.3049,22.0846,22.1102,22.2841
9,55:53.8,22.0034,22.0045,22.8961,22.2874,22.1365,22.0741,22.1368,21.9692,22.5347,22.2829,22.4077,22.0813,22.3275,22.1633,23.1112,0.019,-1.0871,21.9297,22.8965,22.2516,22.1696,22.0466,22.1323,21.8145,21.9796,22.0712,22.2723,22.1438,22.3042,22.0779,22.1143,22.2816
10,55:54.2,22.0004,22.0133,22.8931,22.2902,22.137,22.0718,22.1343,21.9738,22.5305,22.2769,22.4091,22.0862,22.3208,22.1681,23.1112,0.0174,-1.0153,21.9235,22.8916,22.2465,22.1636,22.0466,22.1381,21.8085,21.9794,22.0714,22.2674,22.1357,22.2978,22.077,22.1134,22.2892
