Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  3409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31
1,50:03.2,20.8302,21.2835,22.0664,21.6591,21.4188,21.4174,21.3797,21.255,21.5963,21.6312,21.6356,21.5189,21.6234,21.4715,22.3227,0.0387,-2.8573,21.2236,22.002,21.6386,21.4792,21.4378,21.4051,21.2371,21.2022,21.3726,21.5293,21.4901,21.5186,21.4528,21.3612,21.3382
2,50:03.5,21.082,21.2969,22.0847,21.6598,21.4253,21.4331,21.3932,21.2749,21.6435,21.6455,21.6437,21.5365,21.6325,21.4821,22.3206,0.0324,-2.5301,21.2266,22.0048,21.6487,21.4822,21.4397,21.4046,21.2373,21.2059,21.3731,21.5313,21.5072,21.5207,21.4545,21.3647,21.3436
3,50:03.9,21.0749,21.2909,22.0784,21.6707,21.4343,21.4398,21.4001,21.283,21.6437,21.634,21.649,21.5374,21.6376,21.4782,22.3326,0.023,-2.2675,21.2238,22.0115,21.6434,21.4889,21.4425,21.4139,21.2368,21.2078,21.3715,21.5195,21.495,21.5184,21.4521,21.3591,21.3417
4,50:04.2,21.0839,21.2872,22.0923,21.6665,21.4276,21.4391,21.386,21.2784,21.6393,21.6474,21.6543,21.5388,21.6352,21.4809,22.3245,0.0167,-2.0651,21.2307,22.0071,21.6485,21.4878,21.4413,21.3981,21.2387,21.208,21.3742,21.526,21.5033,21.5165,21.4626,21.3675,21.3433
5,50:04.5,21.0799,21.2927,22.0842,21.6626,21.426,21.4352,21.3955,21.2756,21.6377,21.6402,21.6516,21.5361,21.6364,21.4853,22.3229,0.0122,-1.9016,21.224,22.012,21.6455,21.485,21.4429,21.4034,21.2415,21.2071,21.3631,21.5209,21.5031,21.513,21.4514,21.3605,21.3422
6,50:04.9,21.0843,21.292,22.0872,21.6709,21.4341,21.4366,21.3955,21.278,21.6386,21.64,21.6479,21.5377,21.6329,21.484,22.3215,0.0091,-1.766,21.228,22.008,21.6455,21.4843,21.4355,21.4115,21.2396,21.2126,21.3766,21.526,21.5049,21.5265,21.4598,21.3688,21.3452
7,50:05.2,21.089,21.3059,22.0939,21.6725,21.4318,21.4359,21.3992,21.2807,21.6465,21.6596,21.6511,21.5402,21.6371,21.49,22.3271,0.006,-1.6508,21.2391,22.0076,21.6499,21.4882,21.4492,21.4104,21.2403,21.2154,21.3747,21.5297,21.5079,21.5281,21.4586,21.3732,21.3519
8,50:05.5,21.079,21.2925,22.096,21.6767,21.4253,21.4361,21.3943,21.28,21.6418,21.6453,21.6559,21.5432,21.6355,21.4816,22.3271,0.0046,-1.5518,21.2261,22.002,21.6541,21.488,21.4469,21.4081,21.2373,21.214,21.3712,21.5341,21.5065,21.5232,21.4639,21.3661,21.3461
9,50:05.9,21.0973,21.2934,22.096,21.6739,21.4371,21.4412,21.3932,21.2726,21.6474,21.6515,21.6518,21.5384,21.6297,21.4879,22.3278,0.0031,-1.4683,21.2333,22.0009,21.6476,21.4931,21.4415,21.4132,21.2338,21.2036,21.3708,21.5269,21.5054,21.5278,21.4582,21.3642,21.3459
10,50:06.2,21.0864,21.2934,22.0863,21.6751,21.4278,21.4405,21.3985,21.2817,21.6393,21.6518,21.6539,21.537,21.6295,21.4872,22.3234,0.0029,-1.3959,21.2298,22.0055,21.6531,21.4961,21.4397,21.4062,21.2366,21.2094,21.3805,21.5258,21.4991,21.5123,21.4639,21.3591,21.3438
