Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31,Events
16,37:27.4,21.2568,21.322,22.2508,21.7694,21.6437,21.5992,21.6846,21.4593,22.0749,21.7611,21.9304,21.5415,22.0253,21.5532,22.4602,0.1263,-1.2134,21.3947,22.2189,21.7057,21.7189,21.656,21.7833,21.4733,-9999,21.5829,21.861,21.6431,21.7936,21.6416,21.6841,21.6609,
17,37:27.8,21.2629,21.3245,22.2552,21.7675,21.6442,21.601,21.6913,21.4637,22.0814,21.7736,21.9327,21.5329,22.0297,21.5572,22.4623,0.1257,-1.1873,21.3968,22.2198,21.7087,21.7203,21.6523,21.774,21.4652,-9999,21.575,21.8628,21.6398,21.7811,21.6439,21.6875,21.6616,
18,37:28.1,21.2596,21.3317,22.2554,21.7659,21.6389,21.6008,21.692,21.4549,22.073,21.7655,21.9369,21.5329,22.0133,21.5488,22.4693,0.1251,-1.1624,21.3913,22.2238,21.7059,21.7182,21.6546,21.7701,21.4641,-9999,21.5826,21.8587,21.6313,21.7792,21.6333,21.6672,21.6535,
19,37:28.4,21.2564,21.3299,22.2533,21.7648,21.6407,21.5994,21.6916,21.4602,22.0867,21.7729,21.9374,21.5324,22.0244,21.5581,22.472,0.1243,-1.138,21.3984,22.2124,21.7043,21.7089,21.6484,21.7743,21.4532,-9999,21.5859,21.8598,21.6271,21.7769,21.6314,21.6725,21.6473,
20,37:28.8,21.2543,21.3389,22.2517,21.7583,21.6435,21.5967,21.6879,21.4542,22.0786,21.754,21.9228,21.5156,22.011,21.5467,22.4651,0.1236,-1.1141,21.3903,22.2254,21.7077,21.7108,21.6537,21.7801,21.4479,-9999,21.584,21.8677,21.629,21.7841,21.6333,21.6598,21.6528,
21,37:29.1,21.2494,21.337,22.2445,21.759,21.6442,21.6013,21.6899,21.4426,22.0814,21.7554,21.9288,21.5112,22.0078,21.5539,22.4778,0.1227,-1.0935,21.3971,22.2286,21.7059,21.7196,21.6562,21.7777,21.4485,-9999,21.5833,21.8691,21.6271,21.7855,21.64,21.6577,21.6486,
22,37:29.4,21.2573,21.338,22.2438,21.7513,21.6379,21.5939,21.6913,21.4538,22.0761,21.7558,21.9353,21.5091,22.0034,21.5523,22.4729,0.1218,-1.0726,21.3973,22.2312,21.7061,21.715,21.6597,21.7803,21.4453,-9999,21.5817,21.8649,21.6195,21.7792,21.6372,21.6503,21.6392,
23,37:29.8,21.2575,21.3414,22.2392,21.756,21.6386,21.5962,21.6922,21.4582,22.0865,21.7558,21.9346,21.5038,22.0066,21.5553,22.4757,0.1214,-1.0533,21.3975,22.2289,21.705,21.7159,21.6611,21.7833,21.4437,-9999,21.5817,21.8691,21.6216,21.7827,21.634,21.6473,21.6389,
24,37:30.1,21.2608,21.3465,22.2369,21.7557,21.6338,21.5906,21.6909,21.4491,22.0767,21.7549,21.9334,21.4998,22.0043,21.5514,22.484,0.1209,-1.0366,21.394,22.2242,21.7038,21.7161,21.6495,21.777,21.4425,-9999,21.5868,21.8638,21.6109,21.7848,21.6407,21.6489,21.6405,
25,37:30.4,21.2622,21.3451,22.2233,21.7557,21.64,21.6017,21.6888,21.4565,22.0786,21.7565,21.9321,21.5065,21.9925,21.5576,22.4815,0.1203,-1.021,21.3978,22.2305,21.7205,21.7177,21.6585,21.7736,21.4335,-9999,21.5822,21.8656,21.5991,21.7785,21.6275,21.6452,21.6429,
26,37:30.8,21.2619,21.3542,22.229,21.7534,21.6349,21.5925,21.6939,21.4507,22.0735,21.7519,21.9341,21.5,21.9876,21.5565,22.4861,0.1199,-1.0062,21.4012,22.239,21.714,21.7173,21.6555,21.7766,21.4367,-9999,21.5725,21.8624,21.6028,21.77,21.6254,21.6507,21.6387,
27,37:31.1,21.2603,21.3491,22.2272,21.7601,21.6319,21.5874,21.6899,21.4503,22.0735,21.7484,21.9297,21.495,21.9805,21.5465,22.4806,0.1194,-0.9919,21.3922,22.2298,21.7027,21.7062,21.6497,21.7733,21.4182,-9999,21.5727,21.8682,21.5894,21.7695,21.625,21.6362,21.6426,
28,37:31.4,21.2529,21.3509,22.2265,21.7564,21.6419,21.5925,21.6832,21.4512,22.0784,21.7517,21.9281,21.5024,21.9893,21.5421,22.4919,0.1187,-0.9809,21.3954,22.2335,21.6985,21.7166,21.6463,21.7764,21.424,-9999,21.5671,21.8649,21.5809,21.7688,21.6268,21.6413,21.6523,
29,37:31.8,21.2541,21.3512,22.2214,21.75,21.6329,21.5874,21.6883,21.4524,22.0687,21.7392,21.926,21.491,21.9728,21.541,22.485,0.1181,-0.9699,21.3894,22.24,21.7087,21.714,21.6521,21.7817,21.4222,-9999,21.5678,21.8612,21.5827,21.7721,21.6157,21.6357,21.6526,
30,37:32.1,21.2474,21.3558,22.2256,21.7463,21.6301,21.5897,21.6832,21.4445,22.0749,21.7514,21.9302,21.4852,21.9659,21.5505,22.4926,0.1175,-0.9572,21.3853,22.2203,21.7061,21.718,21.644,21.7801,21.4085,-9999,21.5533,21.8534,21.5723,21.7688,21.6213,21.6306,21.647,
31,37:32.4,21.2552,21.356,22.22,21.7467,21.6389,21.5737,21.6823,21.4454,22.0107,21.687,21.8637,21.419,21.9768,21.5565,22.494,0.1168,-0.946,21.3853,22.2344,21.7073,21.7094,21.6352,21.7727,21.4164,-9999,21.5493,21.858,21.5651,21.7616,21.6199,21.6369,21.6533,
32,37:32.8,21.2494,21.3451,22.2179,21.7409,21.6289,21.5788,21.6858,21.4501,22.001,21.6907,21.8582,21.4178,21.9666,21.5447,22.4901,0.1163,-0.9353,21.3866,22.2319,21.7084,21.718,21.6409,21.7757,21.4101,-9999,21.5489,21.8633,21.5561,21.7686,21.6203,21.6366,21.6618,
33,37:33.1,21.2541,21.3491,22.2203,21.752,21.6322,21.5737,21.6841,21.4563,22.0068,21.6831,21.8593,21.4127,21.9567,21.5486,22.4912,0.116,-0.9252,21.3913,22.2339,21.7027,21.721,21.6352,21.7747,21.4027,-9999,21.5424,21.8594,21.5586,21.7619,21.6141,21.6389,21.6586,
34,37:33.4,21.2448,21.3514,22.2152,21.756,21.6273,21.5712,21.6892,21.4547,22.0117,21.6868,21.8619,21.4206,21.9617,21.5493,22.4942,0.1156,-0.9159,21.3772,22.2289,21.7003,21.7078,21.6342,21.7757,21.409,-9999,21.5364,21.8658,21.5591,21.7621,21.618,21.6399,21.6577,
35,37:33.8,21.249,21.3507,22.2228,21.7513,21.6303,21.568,21.6883,21.4531,22.0047,21.691,21.8635,21.4137,21.9601,21.5604,22.5005,0.1154,-0.906,21.3816,22.236,21.6966,21.7196,21.6257,21.7782,21.3951,-9999,21.5271,21.8547,21.5559,21.7688,21.624,21.6274,21.6648,
36,37:34.1,21.2483,21.3472,22.2207,21.7497,21.6308,21.5608,21.6763,21.4572,22.0126,21.6856,21.857,21.4107,21.9541,21.5576,22.5002,0.115,-0.8965,21.3818,22.2277,21.6948,21.7076,21.6197,21.7678,21.3909,-9999,21.5248,21.8587,21.5524,21.7665,21.6074,21.6325,21.6514,
37,37:34.4,21.2485,21.3428,22.2177,21.7456,21.6315,21.5548,21.6763,21.4461,22.0008,21.6861,21.8568,21.4178,21.9472,21.5618,22.4977,0.1144,-0.8875,21.3732,22.2323,21.7006,21.7173,21.6211,21.7738,21.3926,-9999,21.5227,21.8557,21.5471,21.7626,21.6125,21.6299,21.6609,
38,37:34.8,21.2504,21.3447,22.2207,21.759,21.6342,21.5518,21.6821,21.4461,21.9957,21.6891,21.8586,21.4072,21.9414,21.5542,22.5042,0.1139,-0.8774,21.3795,22.2367,21.698,21.7099,21.6187,21.7669,21.3854,-9999,21.5162,21.8591,21.5526,21.7714,21.6092,21.6281,21.6486,
39,37:35.1,21.2573,21.3394,22.2149,21.7493,21.6222,21.5483,21.6802,21.4424,21.9936,21.6873,21.8584,21.4234,21.9423,21.556,22.4988,0.1131,-0.8602,21.3818,22.2258,21.6934,21.7166,21.6153,21.7731,21.3715,-9999,21.5123,21.8501,21.5573,21.7707,21.6053,21.6262,21.6456,
40,37:35.4,21.2487,21.3347,22.2145,21.7469,21.6329,21.5397,21.6795,21.4487,22.0001,21.6847,21.8605,21.4188,21.9442,21.5576,22.5095,0.1121,-0.8492,21.3702,22.2328,21.7029,21.708,21.6139,21.7659,21.3736,-9999,21.5065,21.8522,21.5575,21.7755,21.6104,21.6304,21.6456,
41,37:35.8,21.2626,21.3343,22.2237,21.7509,21.6449,21.5381,21.6744,21.4364,21.9999,21.6854,21.8559,21.4178,21.9398,21.5629,22.5079,0.1114,-0.8391,21.3684,22.2312,21.7024,21.7085,21.6106,21.7699,21.3715,-9999,21.5065,21.8538,21.5517,21.77,21.6129,21.6301,21.6399,
42,37:36.1,21.2617,21.34,22.2337,21.7534,21.6322,21.5284,21.6795,21.4466,22.0026,21.6923,21.8614,21.4199,21.9493,21.5632,22.5127,0.1108,-0.8335,21.3679,22.2268,21.6959,21.7057,21.6118,21.7666,21.365,-9999,21.5072,21.8522,21.548,21.7707,21.6044,21.6144,21.6306,
43,37:36.4,21.2506,21.3394,22.2304,21.7643,21.6416,21.5245,21.6765,21.4401,21.9922,21.688,21.857,21.4243,21.9338,21.5622,22.5134,0.1101,-0.8337,21.3628,22.2314,21.6983,21.714,21.6097,21.7636,21.3602,-9999,21.5049,21.8457,21.5582,21.7748,21.6088,21.6276,21.6264,
44,37:36.8,21.2582,21.3391,22.2274,21.7668,21.6366,21.5219,21.6675,21.4452,21.9915,21.6877,21.8582,21.4213,21.9419,21.566,22.512,0.1096,-0.8365,21.3748,22.2258,21.6978,21.7124,21.618,21.7662,21.3669,-9999,21.4975,21.842,21.5596,21.7804,21.6039,21.6264,21.6285,
45,37:37.1,21.2522,21.3412,22.2358,21.7608,21.6386,21.5134,21.6696,21.441,21.9897,21.6838,21.8584,21.4151,21.9275,21.5553,22.5083,0.109,-0.8536,21.3746,22.2418,21.6948,21.7166,21.618,21.7662,21.3639,-9999,21.4919,21.8455,21.5626,21.7788,21.6044,21.6355,21.6172,
46,37:37.4,21.2529,21.3509,22.2311,21.7634,21.6372,21.505,21.6696,21.4392,21.9883,21.6891,21.8554,21.4236,21.9268,21.5583,22.5058,0.1082,-0.8579,21.3781,22.2369,21.6966,21.7254,21.6171,21.7775,21.3683,-9999,21.4919,21.849,21.5519,21.7841,21.6162,21.6327,21.6121,
