Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  2991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31
16,06:10.9,22.3568,21.8485,22.7047,22.4033,22.0981,22.2103,22.0598,22.1091,22.5149,22.3376,22.4962,22.3606,22.5062,22.1409,22.9325,0.0169,-0.7979,21.8661,22.7235,22.5299,22.2783,22.3931,22.3273,22.149,22.0129,22.2474,22.4427,22.0902,22.358,22.166,22.1303,22.4638
17,06:11.2,22.3457,21.8554,22.7031,22.3873,22.0977,22.2126,22.0589,22.1031,22.4902,22.3327,22.4848,22.3551,22.5012,22.1182,22.9302,0.0168,-0.7721,21.862,22.721,22.5288,22.2675,22.4051,22.3224,22.1641,22.0041,22.2412,22.4283,22.0846,22.346,22.1669,22.1298,22.4349
18,06:11.5,22.3485,21.8624,22.702,22.3776,22.0928,22.2114,22.0596,22.1015,22.4678,22.3263,22.4791,22.3548,22.4998,22.0909,22.9277,0.0166,-0.7491,21.8634,22.711,22.5172,22.2746,22.3984,22.3197,22.174,22.0101,22.2271,22.4297,22.093,22.3444,22.162,22.1296,22.4062
19,06:11.9,22.3492,21.8672,22.6969,22.3658,22.0873,22.211,22.0522,22.0867,22.459,22.3355,22.4795,22.3673,22.4993,22.0798,22.9376,0.0165,-0.7307,21.8638,22.7099,22.5091,22.2823,22.4144,22.3229,22.1705,22.0221,22.2257,22.4214,22.1071,22.3404,22.1542,22.1252,22.3815
20,06:12.2,22.3471,21.8763,22.7015,22.3413,22.0993,22.2269,22.0691,22.0892,22.4666,22.3427,22.4871,22.3472,22.4968,22.0863,22.9349,0.0166,-0.7121,21.8513,22.7062,22.4936,22.2878,22.4095,22.3227,22.1763,21.9985,22.2224,22.4129,22.1149,22.3289,22.1544,22.124,22.3632
21,06:12.5,22.3518,21.8742,22.7117,22.3189,22.0893,22.2195,22.0661,22.0941,22.4615,22.3522,22.4844,22.3393,22.4949,22.0831,22.9374,0.0158,-0.698,21.8608,22.705,22.4774,22.2818,22.4058,22.3266,22.1692,21.9981,22.2171,22.4094,22.111,22.3256,22.1456,22.1351,22.3699
22,06:12.9,22.3504,21.8691,22.711,22.2872,22.093,22.2124,22.0644,22.0809,22.4837,22.3554,22.4839,22.3222,22.4891,22.0921,22.9365,0.0164,-0.6886,21.8516,22.6942,22.4721,22.2855,22.4091,22.3164,22.1548,21.9851,22.2129,22.4073,22.1138,22.3134,22.1329,22.1337,22.4007
23,06:13.2,22.3497,21.8612,22.7096,22.2844,22.0926,22.2124,22.0633,22.0765,22.529,22.3528,22.486,22.3035,22.4984,22.0949,22.9383,0.0167,-0.6833,21.8481,22.6983,22.4555,22.2825,22.4051,22.3294,22.1349,21.9868,22.2303,22.4008,22.1175,22.3108,22.1165,22.1363,22.4291
24,06:13.5,22.3571,21.8557,22.7094,22.2699,22.1035,22.2096,22.0661,22.067,22.5723,22.3556,22.4867,22.2924,22.4861,22.1032,22.933,0.0165,-0.6762,21.8469,22.6967,22.4619,22.2846,22.4042,22.3241,22.113,21.9821,22.2317,22.4015,22.1006,22.3028,22.1084,22.139,22.4303
25,06:13.9,22.3474,21.8598,22.7008,22.2618,22.0933,22.2154,22.0674,22.0638,22.5748,22.3485,22.4913,22.2723,22.4827,22.0986,22.933,0.0163,-0.6728,21.8488,22.705,22.4707,22.2936,22.4005,22.3426,22.0928,21.9877,22.2199,22.4066,22.0967,22.2919,22.0848,22.1434,22.428
26,06:14.2,22.352,21.8543,22.7066,22.2553,22.0998,22.201,22.0658,22.0582,22.5732,22.3579,22.5033,22.2566,22.4737,22.1027,22.9335,0.0158,-0.6691,21.8444,22.7073,22.4767,22.2971,22.4042,22.3393,22.0644,21.9953,22.2203,22.4112,22.0856,22.2808,22.058,22.1448,22.39
