Header Size:  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Interval:  0.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampling Rate:  3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Count:  911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device Serial Number:  0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culture Info:  en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Date/Time,CHANNEL0,CHANNEL1,CHANNEL2,CHANNEL3,CHANNEL4,CHANNEL5,CHANNEL6,CHANNEL7,CHANNEL8,CHANNEL9,CHANNEL10,CHANNEL11,CHANNEL12,CHANNEL13,CHANNEL14,CHANNEL15,CHANNEL16,CHANNEL17,CHANNEL18,CHANNEL19,CHANNEL20,CHANNEL21,CHANNEL22,CHANNEL23,CHANNEL24,CHANNEL25,CHANNEL26,CHANNEL27,CHANNEL28,CHANNEL29,CHANNEL30,CHANNEL31,Events
1,15:27.6,21.5322,21.3205,22.5877,21.7962,21.8407,21.3716,21.8471,21.3106,22.1825,21.6844,22.022,21.6,22.1875,21.7133,22.724,0.1496,-3.2613,21.7485,22.5348,22.0619,21.9139,21.842,21.9441,21.7278,21.6944,21.6128,22.0606,21.6683,21.9713,21.7041,21.8434,21.7663,
2,15:27.9,21.5382,21.3246,22.5923,21.805,21.8456,21.3689,21.8511,21.3037,22.1936,21.6842,22.0262,21.615,22.1928,21.7183,22.7291,0.1487,-2.8384,21.7494,22.5408,22.0695,21.9178,21.8446,21.9494,21.7086,21.6944,21.6038,22.0581,21.6643,21.9768,21.7078,21.8362,21.7795,
3,15:28.3,21.5394,21.3295,22.596,21.8099,21.8506,21.3698,21.858,21.312,22.1911,21.6877,22.0355,21.5998,22.1919,21.71,22.7199,0.1471,-2.5201,21.754,22.542,22.0743,21.9197,21.8429,21.9388,21.6841,21.6919,21.6137,22.0611,21.6636,21.9657,21.7022,21.8334,21.7915,
4,15:28.6,21.5371,21.3263,22.5976,21.8011,21.8395,21.3686,21.8559,21.3023,22.1876,21.6835,22.0253,21.587,22.1956,21.7052,22.728,0.147,-2.2762,21.7492,22.5447,22.0626,21.9116,21.8422,21.9318,21.6691,21.6916,21.6195,22.0638,21.6569,21.9688,21.7094,21.8336,21.8192,
5,15:28.9,21.5362,21.324,22.5907,21.7868,21.8523,21.3696,21.8518,21.3067,22.1862,21.686,22.0294,21.572,22.2025,21.7144,22.7305,0.1472,-2.0801,21.7478,22.5422,22.0723,21.9019,21.8328,21.9113,21.6649,21.6935,21.623,22.0624,21.6555,21.9634,21.7094,21.8434,21.8098,
6,15:29.3,21.5313,21.3209,22.59,21.7974,21.8437,21.3719,21.8508,21.3016,22.1862,21.6874,22.0306,21.5544,22.2134,21.7109,22.7344,0.1461,-1.9169,21.7596,22.5463,22.0806,21.9009,21.8341,21.9115,21.6557,21.6858,21.6265,22.0655,21.643,21.9651,21.7041,21.8417,21.7744,
7,15:29.6,21.5357,21.3163,22.5907,21.7958,21.8592,21.3705,21.8469,21.2898,22.1825,21.6872,22.0267,21.5378,22.2046,21.7151,22.7358,0.1465,-1.7763,21.7543,22.5422,22.0903,21.9067,21.8198,21.9214,21.6564,21.6879,21.6278,22.0648,21.6423,21.9496,21.7057,21.8454,21.7519,
8,15:29.9,21.5355,21.3126,22.5953,21.8025,21.8407,21.3663,21.8522,21.2891,22.1814,21.6851,22.0336,21.5067,22.2018,21.7156,22.7222,0.147,-1.6575,21.7561,22.5399,22.0908,21.9104,21.8198,21.9288,21.658,21.6907,21.6306,22.0564,21.6525,21.9567,21.7027,21.8362,21.7577,
9,15:30.3,21.5352,21.308,22.5891,21.7979,21.8428,21.3626,21.8462,21.2863,22.1828,21.6877,22.0299,21.4977,22.2062,21.7084,22.7254,0.1458,-1.5584,21.7601,22.547,22.0727,21.9197,21.8247,21.9316,21.6568,21.6854,21.6339,22.0638,21.6419,21.9482,21.7029,21.8362,21.7901,
10,15:30.6,21.5364,21.3066,22.5958,21.7925,21.8476,21.3621,21.8524,21.2829,22.1904,21.6934,22.0371,21.4873,22.2111,21.7246,22.7379,0.1464,-1.4728,21.7608,22.5563,22.072,21.9229,21.8182,21.9284,21.6575,21.6798,21.6378,22.0703,21.6451,21.9572,21.7016,21.8387,21.7975,
11,15:30.9,21.5394,21.3029,22.5942,21.7939,21.8456,21.3689,21.8564,21.2845,22.1717,21.6914,22.0278,21.4783,22.2016,21.7193,22.7351,0.147,-1.3971,21.7582,22.5482,22.0697,21.9164,21.8249,21.9302,21.6534,21.6826,21.6348,22.0638,21.6299,21.9419,21.7036,21.8394,21.8204,
12,15:31.3,21.5406,21.3017,22.5898,21.7851,21.84,21.3642,21.8437,21.2931,22.1818,21.7018,22.0392,21.4653,22.2145,21.719,22.7294,0.1458,-1.3346,21.7596,22.5403,22.0748,21.9206,21.8212,21.9367,21.6455,21.6898,21.6322,22.0604,21.6218,21.944,21.7113,21.835,21.8315,
13,15:31.6,21.5382,21.3029,22.5865,21.79,21.8421,21.3707,21.8464,21.2852,22.1825,21.6951,22.0313,21.4711,22.2055,21.7227,22.7312,0.1452,-1.2784,21.7575,22.5526,22.0824,21.9206,21.8272,21.9443,21.6457,21.6937,21.6311,22.0747,21.6222,21.9341,21.702,21.8387,21.8266,
14,15:31.9,21.5431,21.2929,22.5914,21.787,21.84,21.3649,21.8545,21.2944,22.1747,21.6921,22.0375,21.4644,22.2018,21.7121,22.7361,0.1453,-1.2306,21.7598,22.5501,22.0774,21.9208,21.8251,21.9286,21.6395,21.693,21.6322,22.0564,21.6116,21.9199,21.696,21.8362,21.8338,
15,15:32.3,21.5401,21.2964,22.5972,21.7849,21.8423,21.37,21.8413,21.288,22.1684,21.7027,22.0336,21.4702,22.2108,21.7223,22.7333,0.1448,-1.1902,21.7571,22.554,22.0598,21.9162,21.8173,21.9184,21.6381,21.6805,21.629,22.0613,21.6065,21.9181,21.6925,21.8341,21.828,
16,15:32.6,21.547,21.2862,22.5919,21.784,21.8361,21.3582,21.8437,21.2921,22.174,21.7004,22.0264,21.4716,22.2138,21.7232,22.7356,0.1457,-1.1567,21.7501,22.5602,22.075,21.9213,21.8173,21.9122,21.6307,21.6925,21.6357,22.0634,21.5921,21.9014,21.6861,21.8269,21.8218,
17,15:32.9,21.5334,21.2811,22.5909,21.7761,21.8428,21.373,21.843,21.2868,22.1754,21.6944,22.0338,21.4716,22.2078,21.7237,22.731,0.1468,-1.1261,21.7524,22.5581,22.0841,21.928,21.8145,21.93,21.6295,21.687,21.6401,22.0592,21.5963,21.8917,21.6895,21.8262,21.8202,
18,15:33.3,21.5348,21.2811,22.5861,21.774,21.8379,21.358,21.8295,21.2887,22.1703,21.6978,22.022,21.4783,22.2141,21.7211,22.7331,0.1466,-1.1012,21.7499,22.5648,22.0852,21.9282,21.8117,21.9166,21.6267,21.6777,21.6297,22.0645,21.5931,21.8788,21.6965,21.8302,21.816,
19,15:33.6,21.5318,21.2735,22.5856,21.7733,21.8405,21.3591,21.8386,21.2896,22.1636,21.6937,22.0343,21.4744,22.2134,21.7177,22.7264,0.1468,-1.0773,21.7462,22.5616,22.0963,21.9343,21.8221,21.9224,21.6321,21.6912,21.6295,22.0597,21.5928,21.8661,21.6898,21.8272,21.8095,
20,15:33.9,21.5345,21.2693,22.5847,21.7717,21.8386,21.3589,21.8418,21.2926,22.1691,21.7108,22.0299,21.4748,22.2108,21.7227,22.7284,0.147,-1.0571,21.7494,22.5586,22.0963,21.946,21.8133,21.9115,21.6267,21.6888,21.6376,22.0652,21.591,21.8573,21.6865,21.8332,21.8246,
